File;Format;Size;names;files
File: Exempt Reporting Advisers, December 2016;Format:ZIP;Size:1.24 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia120116-exempt.zip;ia120116-exempt.zip
File: Exempt Reporting Advisers, November 2016;Format:ZIP;Size:1.22 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia110116-exempt.zip;ia110116-exempt.zip
File: Registered Investment Advisers, November 2016;Format:ZIP;Size:10.89 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia110116.zip;ia110116.zip
File: Exempt Reporting Advisers, October 2016;Format:ZIP;Size:1.23 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia100316-exempt.zip;ia100316-exempt.zip
File: Registered Investment Advisers, October 2016;Format:ZIP;Size:10.98 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia100316.zip;ia100316.zip
File: Registered Investment Advisers, September 2016;Format:ZIP;Size:10.82 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia090116.zip;ia090116.zip
File: Exempt Reporting Advisers, September 2016;Format:ZIP;Size:1.21 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia090116-exempt.zip;ia090116-exempt.zip
File: Registered Investment Advisers, August 2016;Format:ZIP;Size:10.92 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia080116.zip;ia080116.zip
File: Exempt Reporting Advisers, August 2016;Format:ZIP;Size:1.22 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia080116-exempt.zip;ia080116-exempt.zip
File: Exempt Reporting Advisers, July 2016;Format:ZIP;Size:1.21 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia070116-exempt.zip;ia070116-exempt.zip
File: Registered Investment Advisers, July 2016;Format:ZIP;Size:10.89 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia070116.zip;ia070116.zip
File: Exempt Reporting Advisers, June 2016;Format:ZIP;Size:1.23 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia060116-exempt.zip;ia060116-exempt.zip
File: Registered Investment Advisers, June 2016;Format:ZIP;Size:10.85 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia060116.zip;ia060116.zip
File: Registered Investment Advisers, May 2016;Format:ZIP;Size:10.66 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia050216.zip;ia050216.zip
File: Exempt Reporting Advisers, May 2016;Format:ZIP;Size:1.21 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia050216-exempt.zip;ia050216-exempt.zip
File: Registered Investment Advisers, April 2016;Format:ZIP;Size:10.63 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia040116.zip;ia040116.zip
File: Exempt Reporting Advisers, April 2016;Format:ZIP;Size:1.17 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia040116-exempt.zip;ia040116-exempt.zip
File: Exempt Reporting Advisers, March 2016;Format:ZIP;Size:1.15 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia030116-exempt.zip;ia030116-exempt.zip
File: Registered Investment Advisers, March 2016;Format:ZIP;Size:10.65 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia030116.zip;ia030116.zip
File: Exempt Reporting Advisers, February 2016;Format:ZIP;Size:1.14 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia020116-exempt.zip;ia020116-exempt.zip
File: Registered Investment Advisers, February 2016;Format:ZIP;Size:10.63 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia020116.zip;ia020116.zip
File: Registered Investment Advisers, January 2016;Format:ZIP;Size:10.74 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia010416.zip;ia010416.zip
File: Exempt Reporting Advisers, January 2016;Format:ZIP;Size:1.14 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia010416-exempt.zip;ia010416-exempt.zip
File: Registered Investment Advisers, December 2015;Format:ZIP;Size:10.73 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia120115.zip;ia120115.zip
File: Exempt Reporting Advisers, December 2015;Format:ZIP;Size:1.16 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia120115-exempt.zip;ia120115-exempt.zip
File: Exempt Reporting Advisers, November 2015;Format:ZIP;Size:1.12 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia110215-exempt.zip;ia110215-exempt.zip
File: Registered Investment Advisers, November 2015;Format:ZIP;Size:10.78 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia110215.zip;ia110215.zip
File: Exempt Reporting Advisers, October 2015;Format:ZIP;Size:1.11 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia100115-exempt.zip;ia100115-exempt.zip
File: Registered Investment Advisers, October 2015;Format:ZIP;Size:10.76 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia100115.zip;ia100115.zip
File: Exempt Reporting Advisers, September 2015;Format:ZIP;Size:1.12 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia090115-exempt.zip;ia090115-exempt.zip
File: Registered Investment Advisers, September 2015;Format:ZIP;Size:10.73 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia090115.zip;ia090115.zip
File: Registered Investment Advisers, August 2015;Format:ZIP;Size:10.59 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia080315.zip;ia080315.zip
File: Exempt Reporting Advisers, August 2015;Format:ZIP;Size:1.08 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia080315-exempt.zip;ia080315-exempt.zip
File: Registered Investment Advisers, July 2015;Format:ZIP;Size:10.61 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia070115.zip;ia070115.zip
File: Exempt Reporting Advisers, July 2015;Format:ZIP;Size:1.07 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia070115-exempt.zip;ia070115-exempt.zip
File: Registered Investment Advisers, June 2015;Format:ZIP;Size:10.46 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia060115.zip;ia060115.zip
File: Exempt Reporting Advisers, June 2015;Format:ZIP;Size:1.1 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia060115-exempt.zip;ia060115-exempt.zip
File: Exempt Reporting Advisers, May 2015;Format:ZIP;Size:1.11 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia050115-exempt.zip;ia050115-exempt.zip
File: Registered Investment Advisers, May 2015;Format:ZIP;Size:10.5 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia050115.zip;ia050115.zip
File: Registered Investment Advisers, April 2015;Format:ZIP;Size:10.43 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia040115.zip;ia040115.zip
File: Exempt Reporting Advisers, April 2015;Format:ZIP;Size:1.09 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia040115-exempt.zip;ia040115-exempt.zip
File: Registered Investment Advisers, March 2015;Format:ZIP;Size:10.42 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia030215.zip;ia030215.zip
File: Exempt Reporting Advisers, March 2015;Format:ZIP;Size:1.09 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia030215-exempt.zip;ia030215-exempt.zip
File: Registered Investment Advisers, February 2015;Format:ZIP;Size:10.41 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia020215.zip;ia020215.zip
File: Exempt Reporting Advisers, February 2015;Format:ZIP;Size:1.06 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia020215-exempt.zip;ia020215-exempt.zip
File: Exempt Reporting Advisers, January 2015;Format:ZIP;Size:1.07 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia010215-exempt.zip;ia010215-exempt.zip
File: Registered Investment Advisers, January 2015;Format:ZIP;Size:10.3 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia010215.zip;ia010215.zip
File: Registered Investment Advisers, December 2014;Format:ZIP;Size:10.3 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia120114.zip;ia120114.zip
File: Exempt Reporting Advisers, December 2014;Format:ZIP;Size:1.07 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia120114-exempt.zip;ia120114-exempt.zip
File: Registered Investment Advisers, November 2014;Format:ZIP;Size:10.31 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia110314.zip;ia110314.zip
File: Exempt Reporting Advisers, November 2014;Format:ZIP;Size:1.04 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia110314-exempt.zip;ia110314-exempt.zip
File: Registered Investment Advisers, October 2014;Format:ZIP;Size:10.16 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia100114.zip;ia100114.zip
File: Exempt Reporting Advisers, October 2014;Format:ZIP;Size:1016.65 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia100114-exempt.zip;ia100114-exempt.zip
File: Exempt Reporting Advisers, September 2014;Format:ZIP;Size:1.02 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia090214-exempt.zip;ia090214-exempt.zip
File: Registered Investment Advisers, September 2014;Format:ZIP;Size:10.24 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia090214.zip;ia090214.zip
File: Registered Investment Advisers, August 2014;Format:ZIP;Size:10.21 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia080114.zip;ia080114.zip
File: Exempt Reporting Advisers, August 2014;Format:ZIP;Size:1.01 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia080114-exempt.zip;ia080114-exempt.zip
File: Registered Investment Advisers, July 2014;Format:ZIP;Size:10.13 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia070114.zip;ia070114.zip
File: Exempt Reporting Advisers, July 2014;Format:ZIP;Size:1 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia070114-exempt.zip;ia070114-exempt.zip
File: Registered Investment Advisers, June 2014;Format:ZIP;Size:10.07 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia060214.zip;ia060214.zip
File: Exempt Reporting Advisers, June 2014;Format:ZIP;Size:1 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia060214-exempt.zip;ia060214-exempt.zip
File: Exempt Reporting Advisers, May 2014;Format:ZIP;Size:1016.82 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia050114-exempt.zip;ia050114-exempt.zip
File: Registered Investment Advisers, May 2014;Format:ZIP;Size:10 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia050114.zip;ia050114.zip
File: Registered Investment Advisers, April 2014;Format:ZIP;Size:9.96 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia040114.zip;ia040114.zip
File: Exempt Reporting Advisers, April 2014;Format:ZIP;Size:1010.07 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia040114-exempt.zip;ia040114-exempt.zip
File: Registered Investment Advisers, March 2014;Format:ZIP;Size:9.85 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia030414.zip;ia030414.zip
File: Exempt Reporting Advisers, March 2014;Format:ZIP;Size:1010.38 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia030414-exempt.zip;ia030414-exempt.zip
File: Registered Investment Advisers, February 2014;Format:ZIP;Size:9.82 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia020314.zip;ia020314.zip
File: Exempt Reporting Advisers, February 2014;Format:ZIP;Size:995.42 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia020314-exempt.zip;ia020314-exempt.zip
File: Exempt Reporting Advisers, January 2014;Format:ZIP;Size:993.16 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia010214-exempt.zip;ia010214-exempt.zip
File: Registered Investment Advisers, January 2014;Format:ZIP;Size:9.72 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia010214.zip;ia010214.zip
File: Registered Investment Advisers, December 2013;Format:ZIP;Size:9.76 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia120213.zip;ia120213.zip
File: Exempt Reporting Advisers, December 2013;Format:ZIP;Size:981.21 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia120213-exempt.zip;ia120213-exempt.zip
File: Registered Investment Advisers, November 2013;Format:ZIP;Size:9.42 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia110113.zip;ia110113.zip
File: Exempt Reporting Advisers, November 2013;Format:ZIP;Size:1018.84 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia110113-exempt.zip;ia110113-exempt.zip
File: Registered Investment Advisers, October 2013;Format:ZIP;Size:9.31 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia100113.zip;ia100113.zip
File: Exempt Reporting Advisers, October 2013;Format:ZIP;Size:956.04 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia100113-exempt.zip;ia100113-exempt.zip
File: Exempt Reporting Advisers, September 2013;Format:ZIP;Size:948.91 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia090313-exempt.zip;ia090313-exempt.zip
File: Registered Investment Advisers, September 2013;Format:ZIP;Size:9.08 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia090313.zip;ia090313.zip
File: Registered Investment Advisers, August 2013;Format:ZIP;Size:8.94 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia080113.zip;ia080113.zip
File: Exempt Reporting Advisers, August 2013;Format:ZIP;Size:909.25 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia080113-exempt.zip;ia080113-exempt.zip
File: Registered Investment Advisers, July 2013;Format:ZIP;Size:9.01 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia070113.zip;ia070113.zip
File: Exempt Reporting Advisers, July 2013;Format:ZIP;Size:922.2 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia070113-exempt.zip;ia070113-exempt.zip
File: Registered Investment Advisers, June 2013;Format:ZIP;Size:8.96 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia060313.zip;ia060313.zip
File: Exempt Reporting Advisers, June 2013;Format:ZIP;Size:925.08 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia060313-exempt.zip;ia060313-exempt.zip
File: Exempt Reporting Advisers, May 2013;Format:ZIP;Size:882.31 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia050113-exempt.zip;ia050113-exempt.zip
File: Registered Investment Advisers, May 2013;Format:ZIP;Size:8.93 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia050113.zip;ia050113.zip
File: Registered Investment Advisers, April 2013;Format:ZIP;Size:8.88 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia040113.zip;ia040113.zip
File: Exempt Reporting Advisers, April 2013;Format:ZIP;Size:871.38 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia040113-exempt.zip;ia040113-exempt.zip
File: Registered Investment Advisers, March 2013;Format:ZIP;Size:8.88 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia030113.zip;ia030113.zip
File: Exempt Reporting Advisers, March 2013;Format:ZIP;Size:861.58 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia030113-exempt.zip;ia030113-exempt.zip
File: Registered Investment Advisers, February 2013;Format:ZIP;Size:8.98 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia020113.zip;ia020113.zip
File: Exempt Reporting Advisers, February 2013;Format:ZIP;Size:853.71 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia020113-exempt.zip;ia020113-exempt.zip
File: Exempt Reporting Advisers, January 2013;Format:ZIP;Size:845.2 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia010213-exempt.zip;ia010213-exempt.zip
File: Registered Investment Advisers, January 2013;Format:ZIP;Size:8.97 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia010213.zip;ia010213.zip
File: Registered Investment Advisers, December 2012;Format:ZIP;Size:9.07 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia120312.zip;ia120312.zip
File: Exempt Reporting Advisers, December 2012;Format:ZIP;Size:835.35 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia120312-exempt.zip;ia120312-exempt.zip
File: Registered Investment Advisers, November 2012;Format:ZIP;Size:9.07 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia110112.zip;ia110112.zip
File: Exempt Reporting Advisers, November 2012;Format:ZIP;Size:827.25 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia110112-exempt.zip;ia110112-exempt.zip
File: Registered Investment Advisers, October 2012;Format:ZIP;Size:9.18 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia100112.zip;ia100112.zip
File: Exempt Reporting Advisers, October 2012;Format:ZIP;Size:806.8 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia100112-exempt.zip;ia100112-exempt.zip
File: Exempt Reporting Advisers, September 2012;Format:ZIP;Size:781.96 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia090112-exempt.zip;ia090112-exempt.zip
File: Registered Investment Advisers, September 2012;Format:ZIP;Size:9.29 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia090112.zip;ia090112.zip
File: Registered Investment Advisers, August 2012;Format:ZIP;Size:9.42 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia080112.zip;ia080112.zip
File: Exempt Reporting Advisers, August 2012;Format:ZIP;Size:781.03 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia080112-exempt.zip;ia080112-exempt.zip
File: Registered Investment Advisers, July 2012;Format:ZIP;Size:9.76 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia070212.zip;ia070212.zip
File: Exempt Reporting Advisers, July 2012;Format:ZIP;Size:768.88 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia070212-exempt.zip;ia070212-exempt.zip
File: Registered Investment Advisers, June 2012;Format:ZIP;Size:10.33 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia060112.zip;ia060112.zip
File: Exempt Reporting Advisers, June 2012;Format:ZIP;Size:735.96 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia060112-exempt.zip;ia060112-exempt.zip
File: Exempt Reporting Advisers, May 2012;Format:ZIP;Size:718.79 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia050112-exempt.zip;ia050112-exempt.zip
File: Registered Investment Advisers, May 2012;Format:ZIP;Size:9.26 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia050112.zip;ia050112.zip
File: Registered Investment Advisers, April 2012;Format:ZIP;Size:8.16 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia040112.zip;ia040112.zip
File: Exempt Reporting Advisers, April 2012;Format:ZIP;Size:623.2 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia040112-exempt.zip;ia040112-exempt.zip
File: Registered Investment Advisers, March 2012;Format:ZIP;Size:4.9 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia030112.zip;ia030112.zip
File: Exempt Reporting Advisers, March 2012;Format:ZIP;Size:51.23 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia030112-exempt.zip;ia030112-exempt.zip
File: Registered Investment Advisers, February 2012;Format:ZIP;Size:4.87 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia020112.zip;ia020112.zip
File: Exempt Reporting Advisers, February 2012;Format:ZIP;Size:47.63 KB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia020112-exempt.zip;ia020112-exempt.zip
File: Registered Investment Advisers, January 2012;Format:ZIP;Size:4.85 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia010112.zip;ia010112.zip
File: Registered Investment Advisers, December 2011;Format:ZIP;Size:4.81 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia120111.zip;ia120111.zip
File: Registered Investment Advisers, November 2011;Format:ZIP;Size:8.2 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia110111.zip;ia110111.zip
File: Registered Investment Advisers, October 2011;Format:ZIP;Size:8.12 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia100311.zip;ia100311.zip
File: Registered Investment Advisers, September 2011;Format:ZIP;Size:1.86 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia082611.zip;ia082611.zip
File: Registered Investment Advisers, August 2011;Format:ZIP;Size:1.52 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia080111.zip;ia080111.zip
File: Registered Investment Advisers, July 2011;Format:ZIP;Size:1.58 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia070111.zip;ia070111.zip
File: Registered Investment Advisers, June 2011;Format:ZIP;Size:1.5 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia060111.zip;ia060111.zip
File: Registered Investment Advisers, May 2011;Format:ZIP;Size:1.49 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia050111.zip;ia050111.zip
File: Registered Investment Advisers, April 2011;Format:ZIP;Size:1.63 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia040111.zip;ia040111.zip
File: Registered Investment Advisers, March 2011;Format:ZIP;Size:1.47 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia030111.zip;ia030111.zip
File: Registered Investment Advisers, February 2011;Format:ZIP;Size:1.66 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia020111.zip;ia020111.zip
File: Registered Investment Advisers, January 2011;Format:ZIP;Size:1.47 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia010311.zip;ia010311.zip
File: Registered Investment Advisers, December 2010;Format:ZIP;Size:1.48 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia120110.zip;ia120110.zip
File: Registered Investment Advisers, November 2010;Format:ZIP;Size:1.65 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia110110.zip;ia110110.zip
File: Registered Investment Advisers, October 2010;Format:ZIP;Size:1.79 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia100110.zip;ia100110.zip
File: Registered Investment Advisers, September 2010;Format:ZIP;Size:1.61 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia090110.zip;ia090110.zip
File: Registered Investment Advisers, August 2010;Format:ZIP;Size:1.64 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia073010.zip;ia073010.zip
File: Registered Investment Advisers, July 2010;Format:ZIP;Size:1.77 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia070110.zip;ia070110.zip
